trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.9, 'e': 0.9047921471137089}",20,3,-92.18978582072803,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 1}",1
101,False,"{'a': 0.9, 'e': 0.9038873549665952}",25,-42,-400.54672310305983,"{0: 40, 1: 7, 2: 12, 3: 1, 4: 7}",0
102,False,"{'a': 0.9, 'e': 0.9029834676116286}",25,-39,-287.6443111059817,"{0: 41, 1: 10, 2: 6, 3: 2, 4: 5}",0
103,False,"{'a': 0.9, 'e': 0.902080484144017}",25,-100,-501.76852817596244,"{0: 86, 1: 9, 2: 19, 3: 2, 4: 9}",0
104,False,"{'a': 0.9, 'e': 0.901178403659873}",20,-79,-348.3840003326691,"{0: 65, 1: 13, 2: 13, 3: 4, 4: 4}",0
105,False,"{'a': 0.9, 'e': 0.9002772252562131}",20,15,-3.168042913433828,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.9, 'e': 0.8993769480309569}",30,-86,-532.102168364135,"{0: 73, 1: 4, 2: 27, 3: 6, 4: 6}",0
107,False,"{'a': 0.9, 'e': 0.8984775710829259}",25,-41,-354.62982749675797,"{0: 42, 1: 1, 2: 13, 3: 6, 4: 4}",0
108,False,"{'a': 0.9, 'e': 0.8975790935118431}",30,-100,-610.0442935413026,"{0: 78, 1: 13, 2: 26, 3: 6, 4: 7}",0
109,False,"{'a': 0.9, 'e': 0.8966815144183312}",25,-45,-243.52239708226125,"{0: 52, 1: 2, 2: 9, 3: 3, 4: 4}",0
110,False,"{'a': 0.9, 'e': 0.8957848329039129}",20,-69,-421.05241992671745,"{0: 57, 1: 10, 2: 14, 3: 0, 4: 8}",0
111,False,"{'a': 0.9, 'e': 0.894889048071009}",25,-1,-133.2199512732403,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 3}",1
112,False,"{'a': 0.9, 'e': 0.8939941590229379}",35,4,-141.16774760705462,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 2}",1
113,False,"{'a': 0.9, 'e': 0.893100164863915}",25,-1,-0.9594118458023146,"{0: 23, 1: 1, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.9, 'e': 0.8922070646990511}",20,-13,-51.75849183296397,"{0: 28, 1: 1, 2: 1, 3: 2, 4: 1}",0
115,False,"{'a': 0.9, 'e': 0.891314857634352}",30,-100,-508.88071143179053,"{0: 91, 1: 8, 2: 19, 3: 3, 4: 9}",0
